age,income,loan_amount,loan_term_months,credit_score,num_credit_cards,default
55,48956,3799,17,662,4,1
53,57279,12508,35,582,4,0
25,38409,19963,31,635,2,0
62,48661,17729,48,461,2,0
59,50449,10800,31,459,1,0
61,39432,12173,23,773,5,0
48,39075,12946,44,621,1,0
27,51481,11686,39,311,4,0
29,48044,4851,19,723,2,1
28,57507,18817,12,372,4,0
32,34201,21285,48,500,4,0
54,44739,7407,33,821,3,0
53,46561,21219,17,804,3,0
43,62207,14484,32,338,4,0
44,35893,21125,43,359,2,0
57,53519,15189,46,620,4,0
55,53791,15677,26,734,3,0
64,74695,16862,16,707,2,0
60,34893,11049,57,685,4,0
42,40141,20973,59,377,5,0
47,35939,9393,17,493,5,0
55,24953,12989,36,584,4,0
21,76470,17621,57,826,2,1
55,31377,12454,51,823,4,0
57,37755,18887,40,455,4,0
34,69736,21879,18,639,3,0
23,23703,20062,51,424,5,0
21,61345,5319,24,579,3,0
25,28804,15629,49,427,3,0
46,68700,20143,29,613,4,0
34,17451,8416,13,631,3,0
59,23697,18618,19,449,5,0
47,41826,18337,22,753,3,0
29,64577,8939,44,335,5,0
35,49535,19171,49,719,3,0
35,44964,16363,59,321,5,1
46,70190,18251,38,505,3,0
62,82328,10168,31,655,3,0
33,60083,15750,23,739,2,0
52,40657,6475,54,395,5,0
59,43727,3615,42,463,5,0
52,30673,15704,38,447,5,0
24,51512,20502,43,829,1,0
50,25556,16264,21,593,3,0
57,58277,14682,14,494,5,1
43,80083,14062,56,779,1,0
59,60763,10287,38,422,2,0
35,42962,13890,46,699,5,1
63,57904,17108,42,751,5,1
49,74308,12823,26,403,1,0
56,73557,18752,27,761,3,0
33,34943,15979,24,695,2,1
52,57654,16584,46,636,5,0
27,47628,19443,22,441,3,0
42,62098,12366,32,616,2,0
48,55754,18296,22,826,4,0
22,14454,13067,41,700,4,0
62,44779,16697,59,609,2,0
26,52978,11771,46,794,1,0
48,28484,10446,33,408,2,0
48,58715,15459,49,671,2,0
64,27139,5573,42,505,1,1
64,38023,13518,25,342,1,1
40,70119,6968,35,544,3,0
50,36743,18896,43,586,3,0
31,58609,20250,47,654,1,0
48,23696,10680,43,775,4,0
45,81219,17141,26,382,4,0
59,45431,19495,54,409,2,0
53,51429,19512,46,489,5,1
21,52685,16072,14,550,2,0
47,59113,18671,27,590,2,0
33,27212,11753,16,500,5,0
61,49919,15415,32,625,1,0
23,40118,12664,21,810,4,0
59,24656,11331,30,708,2,0
26,64806,15180,36,807,5,0
28,44717,16737,15,371,3,1
47,53637,20817,40,546,2,0
29,52697,16325,30,643,4,1
57,44977,18209,54,353,1,0
53,79625,18266,13,827,2,0
62,49291,28437,21,831,2,0
64,26630,5949,54,492,5,0
44,43994,11560,36,357,3,0
35,57496,22370,31,736,3,0
52,57988,13239,59,410,1,0
52,33683,19429,30,428,4,0
44,63942,16150,34,625,1,0
61,23556,25526,35,307,2,0
32,67162,9434,22,328,2,0
59,30209,21109,57,411,3,0
22,46606,23747,45,430,4,0
23,65968,9927,39,487,5,1
57,51794,18914,16,774,4,0
37,62250,10172,16,663,2,0
22,59279,15150,32,503,5,0
22,69294,13717,23,511,4,0
48,65933,2986,15,575,4,0
43,43193,17121,53,372,5,1
57,59494,15716,31,542,2,1
52,27101,22395,49,401,4,0
53,49131,18055,36,470,5,0
21,62277,26454,25,487,2,0
39,52007,15535,22,740,5,0
22,56699,14472,43,385,5,0
64,46800,14078,22,775,4,0
46,66936,12802,29,351,2,0
52,48793,3961,38,410,4,1
26,43018,13899,29,342,1,0
52,63297,4660,34,510,1,0
24,28922,17260,22,499,2,1
31,57515,8799,32,325,5,0
37,34362,10528,55,598,4,1
58,69168,11652,16,376,4,0
44,46084,13975,34,436,2,0
25,52024,15034,52,319,2,1
54,56188,20422,36,739,1,0
26,21054,12112,52,510,3,0
42,40241,17400,21,734,2,0
31,65653,28654,33,506,3,0
36,63016,16886,30,738,2,0
53,54245,14097,12,341,5,1
29,29758,11104,18,710,5,1
26,58782,14028,15,822,1,1
36,60700,10568,12,726,1,0
49,50705,16343,26,574,3,0
23,68347,15517,51,747,2,0
40,39748,4188,23,668,4,1
56,42352,14907,33,519,1,0
39,12730,20380,33,531,4,0
46,63797,13004,58,627,4,0
23,54707,11735,28,742,2,0
39,24772,8111,40,351,3,0
40,23621,5710,57,675,2,1
52,36910,19156,25,562,1,1
27,61904,14092,31,566,4,0
61,45494,18860,59,658,2,0
53,37928,22656,44,616,2,1
60,34908,19606,54,623,2,0
59,34236,12288,26,720,1,0
38,20994,15724,23,345,3,0
60,31889,11926,51,568,2,0
21,33941,11458,31,680,1,0
31,60239,16714,41,417,4,0
48,47514,10838,49,415,5,0
45,37616,3954,14,559,1,0
43,84645,10559,39,374,5,1
51,40041,13465,37,779,2,1
50,67506,22606,41,604,2,1
62,74316,12545,24,306,1,0
55,26450,17559,24,665,5,0
27,51109,14158,13,822,2,0
36,42236,21132,48,647,4,1
46,41016,20785,49,737,3,0
22,58330,20880,13,514,3,0
21,40656,6330,47,728,2,0
32,42560,16033,37,797,5,0
25,47478,18794,22,839,2,0
57,44399,16907,19,666,5,1
52,32396,18182,55,612,4,1
29,61938,15291,51,837,5,0
61,65727,11276,54,353,2,1
55,55154,6514,33,840,4,0
39,44351,11772,31,766,1,0
36,39421,28390,19,463,3,0
23,39445,12571,40,633,2,0
40,85360,5203,51,846,2,0
44,64067,18663,37,647,2,1
53,37398,19277,41,572,4,0
44,52470,21436,28,713,1,0
31,44561,17354,31,799,5,0
28,58757,19228,27,392,1,1
56,58152,24201,57,378,4,0
58,66254,11272,54,516,2,0
60,37241,10280,18,657,3,0
40,51571,9527,27,806,2,0
55,23771,13671,56,480,5,0
45,31139,22167,58,545,3,0
55,63261,17640,59,543,2,0
45,35739,17443,38,805,3,0
49,37386,5903,34,721,1,1
38,49875,11534,35,619,4,0
38,60421,5821,20,386,2,0
22,34087,20856,46,516,5,1
55,-2212,22928,31,789,1,0
36,36946,18897,48,818,2,1
61,68084,10066,53,577,1,0
56,55147,22410,28,468,5,0
53,69858,13733,58,629,2,0
24,33022,8927,42,740,5,1
53,25409,10177,19,690,3,0
34,56938,12849,26,795,5,0
41,53600,15247,42,680,3,1
40,54583,14193,41,605,2,0
28,63994,7936,57,812,3,0
27,56325,21066,31,487,2,0
23,56084,14246,50,815,2,0
37,60725,11431,23,726,4,0
53,57536,20551,28,801,2,0
32,62861,9082,53,559,3,0
42,65127,6855,41,812,4,0
42,72975,21362,40,370,4,1
50,40262,24456,30,777,2,1
58,57208,12689,57,477,5,0
58,44445,14770,22,756,5,1
28,37496,9266,45,488,4,0
47,39656,15027,18,590,2,0
47,57424,12621,55,819,5,0
54,56273,14489,45,591,2,0
41,56006,17046,31,582,2,0
50,46614,9509,49,843,4,1
53,50051,13190,35,676,4,0
48,62266,5981,21,455,1,1
53,27659,13225,43,807,5,0
25,50369,14532,26,712,5,0
39,51349,16144,48,827,5,0
24,61299,16197,31,654,3,0
55,29746,19519,14,486,2,0
37,72427,7301,48,330,4,0
64,53204,7568,51,559,5,0
48,53998,17644,19,720,1,0
50,43979,4805,51,828,5,0
49,58070,15916,55,603,2,0
26,50719,9098,34,338,2,1
55,68134,22864,51,788,4,0
61,28377,16252,22,841,3,0
57,52633,13904,57,577,4,1
44,56127,21138,19,502,5,0
49,47204,9682,40,365,1,0
51,43930,10632,41,407,4,1
55,44555,8692,21,567,3,0
53,52619,10674,50,521,4,0
41,22850,15305,39,829,2,0
52,64475,17469,47,389,5,1
43,42798,19807,24,554,5,1
53,51917,5876,43,754,5,0
23,55506,14140,47,552,5,0
38,42112,9459,48,556,5,0
45,48034,13973,37,682,5,0
62,19471,26670,33,741,1,0
51,60981,16459,15,389,3,0
23,66201,19497,42,689,5,1
60,24485,24803,29,343,3,1
44,43902,20636,49,318,5,0
52,31551,12760,35,400,4,0
42,47333,8620,34,656,5,0
43,59729,14849,33,841,2,0
22,64809,12161,13,332,1,0
47,66827,7377,42,528,4,1
62,69658,16204,22,823,4,0
22,46663,16329,39,454,2,0
46,32795,23845,57,722,5,0
37,48281,13191,43,545,1,0
60,59499,16400,16,704,4,0
53,31591,11672,49,840,1,0
29,74902,19365,21,460,4,0
63,63468,14376,51,416,5,1
59,46901,9137,57,570,4,0
49,39336,14932,35,786,4,0
62,39963,16952,46,471,3,0
46,51113,16276,55,573,5,0
55,46558,20229,59,558,2,0
45,64257,7759,34,434,2,0
44,44855,10786,28,721,5,0
33,57582,18198,12,720,2,0
27,49566,11373,42,485,5,0
56,54045,16202,42,663,2,0
40,46549,2901,53,677,3,1
21,60615,28579,53,822,2,0
28,60838,13651,45,495,4,0
36,56898,20969,20,397,5,0
34,59112,13315,33,321,1,0
32,35834,17073,24,749,1,1
43,54848,22459,36,471,5,0
35,68738,20829,59,682,3,1
48,57371,13977,29,433,2,1
54,34539,14323,23,725,3,0
22,49253,20017,51,324,1,0
52,55624,26666,28,802,5,0
43,38639,15961,26,484,5,1
42,29625,24785,53,384,3,0
45,45258,13792,26,443,3,0
42,38887,19759,26,711,2,0
42,49785,20505,50,523,4,0
62,26128,12950,24,519,4,0
26,58470,11264,28,478,2,0
35,40480,20726,43,732,4,0
63,64936,12342,20,564,1,1
57,45846,10528,51,728,4,0
53,49619,11580,31,715,2,0
28,47404,12321,37,752,4,0
64,39677,19283,38,496,5,0
64,87084,17575,32,352,3,0
25,42562,18578,29,779,1,0
59,65352,17106,24,742,5,0
24,33595,12030,27,629,5,0
26,55581,18485,20,550,2,0
52,57183,20912,23,422,3,0
50,49637,17922,55,686,3,0
55,41434,17248,49,638,1,0
60,46050,11164,30,647,2,0
36,43950,16059,18,328,1,0
33,86030,10898,46,334,4,0
62,49660,14879,59,817,5,0
50,57873,6798,29,695,1,1
39,76724,6837,27,593,5,1
37,36855,14044,50,648,2,0
39,50564,12257,15,446,4,0
48,45962,15533,36,366,2,1
46,48707,14326,43,819,4,0
57,47314,15150,51,421,4,0
46,39021,18043,24,639,5,1
43,52931,12683,56,474,2,0
29,34060,13902,28,750,2,0
32,64833,22275,48,435,1,0
21,59349,15015,17,315,2,0
21,42598,14103,30,632,1,0
54,43325,15412,24,494,3,0
52,54132,14193,37,795,3,0
45,38021,11452,25,308,3,0
60,77179,10009,42,633,2,0
21,55368,11182,15,632,2,0
36,55898,19364,50,626,1,0
59,60221,11850,19,314,4,0
25,41308,14225,36,525,1,0
42,66335,18503,24,724,3,1
49,51718,13608,43,707,1,0
23,64252,18166,49,412,4,0
32,47030,7296,49,727,2,0
46,69759,14337,39,300,1,0
36,56020,15394,41,565,3,0
57,82737,15115,14,790,3,0
42,44457,6735,39,507,2,0
49,53068,21015,14,668,1,0
34,34526,10726,56,605,4,1
48,42060,16675,45,311,2,1
25,59280,15039,27,644,1,0
50,66939,20018,33,764,5,0
25,94475,25937,43,793,3,0
32,48550,8548,49,667,4,0
36,36001,11755,19,719,4,0
46,61299,15945,19,470,4,0
46,33082,9473,17,433,3,1
41,58464,18910,25,726,1,0
59,42466,19216,43,324,2,0
56,53173,17797,46,829,1,0
53,66365,16182,21,489,2,0
50,48338,21848,14,440,4,0
57,63993,9221,23,614,1,0
43,63097,15326,42,743,4,1
30,22035,11305,40,618,5,0
25,36475,19449,16,740,4,0
56,26572,5833,36,391,4,1
54,80026,14859,52,478,2,0
51,48419,16676,42,355,5,0
30,76712,10262,32,454,4,0
39,25505,11869,31,410,4,0
52,41408,15076,50,436,5,0
21,62007,19775,33,531,5,0
25,52689,9835,15,767,1,1
24,57992,10707,24,780,2,0
36,31192,20627,56,367,5,0
44,70652,13635,53,548,5,0
36,61655,11112,31,622,3,0
22,56024,18643,24,817,5,0
48,39715,12559,28,731,2,0
52,54857,20137,47,786,4,0
47,45627,11681,44,728,4,0
40,25242,14202,12,568,4,1
44,49243,19724,26,836,4,0
32,47649,13868,24,447,3,0
55,65936,18780,28,417,5,1
53,16483,14672,35,666,4,0
53,53527,24908,19,365,1,0
63,32666,22843,38,669,4,1
57,54788,8359,56,474,5,0
32,55614,17611,34,794,4,0
23,48697,10917,57,413,3,0
21,62109,15957,19,410,2,0
53,31313,15341,19,738,2,0
60,66615,9723,37,446,5,0
30,39378,20292,58,334,2,0
63,26661,16016,24,608,2,0
64,45914,13576,50,837,1,0
49,18572,12809,48,313,5,0
33,53812,15698,39,673,5,1
32,46111,17039,36,727,2,0
51,68505,14375,27,532,2,1
22,59733,837,13,739,2,0
55,29120,15084,29,801,3,0
43,37424,7792,28,574,4,0
37,57809,13952,41,375,3,0
46,62706,7977,50,738,5,0
28,68337,7917,24,588,1,0
49,68217,21175,43,839,4,0
46,48657,13399,40,552,1,0
30,55439,13016,57,425,5,0
46,69481,17412,41,476,5,0
54,45450,13147,29,336,1,0
61,55695,25519,24,709,1,0
27,45096,13634,54,426,1,0
24,41735,16825,32,782,5,0
31,50725,19854,41,467,2,0
49,39686,23011,32,593,1,1
56,48036,11289,59,642,4,0
45,34475,12910,28,609,5,0
41,47150,21372,51,827,3,0
56,56725,19050,30,839,3,1
30,41168,20375,26,718,4,0
57,50139,8156,20,743,2,1
29,52090,22739,21,535,1,0
44,56788,11192,55,738,5,0
55,47996,15961,42,513,1,1
55,66287,14258,34,384,5,0
56,18486,10607,41,384,3,0
38,94066,7937,44,788,1,0
59,36932,6280,20,364,4,1
52,56050,15595,58,363,2,0
44,35922,7373,12,642,4,0
43,59664,9330,55,651,2,0
52,54148,13909,46,457,1,0
57,40239,1805,22,790,1,1
32,66096,18894,45,762,2,0
33,47540,2950,27,524,3,0
43,58208,14613,20,612,5,1
45,36242,15075,43,765,4,0
55,49536,17690,26,387,4,0
61,80051,14791,23,602,4,0
50,64444,25089,44,734,1,0
37,54614,16081,56,434,4,0
40,43266,20268,25,349,5,0
45,51012,11382,19,731,5,0
42,52963,15603,19,639,2,0
33,56738,22737,38,646,1,1
39,33850,13811,23,646,5,0
56,60026,15961,12,544,3,0
32,33656,19904,54,408,1,0
61,74466,11288,51,832,1,1
39,38425,4192,53,389,5,0
32,54449,16277,22,595,3,0
29,65077,19943,50,411,2,0
27,46214,8242,54,476,5,0
48,55109,18351,42,642,3,0
34,71527,18384,28,400,1,0
51,58466,3632,44,700,3,0
39,55333,10318,43,327,1,1
36,24728,13020,40,836,5,0
25,35994,14101,32,357,5,0
55,65703,11284,32,797,4,0
32,58549,11014,51,596,4,0
45,60821,23357,34,433,4,0
41,59530,14462,17,630,5,0
56,69346,11524,33,548,2,0
43,46079,14794,49,849,5,0
36,51807,17685,48,374,3,0
59,34569,15258,56,467,5,0
62,30829,13971,19,802,5,0
59,25343,11749,52,654,1,0
34,36722,11689,46,524,1,0
51,73288,12010,22,830,1,0
25,26709,16694,35,445,5,0
55,45446,10029,32,540,2,1
43,30602,16966,13,643,3,0
49,40985,22064,51,334,3,0
63,52545,16628,30,300,2,0
31,39498,13152,50,452,2,0
38,66344,8509,39,728,3,0
32,73009,22890,28,807,4,1
29,16263,9149,17,425,1,0
30,39755,19242,30,790,1,1
64,50887,18192,49,781,3,1
37,66891,13816,39,644,2,0
58,43186,13685,13,520,4,0
27,49700,5821,49,324,3,0
33,32648,16650,48,827,1,0
60,27008,18099,15,481,5,1
62,71680,9554,33,798,2,0
29,22638,14220,37,341,5,1
47,84929,15189,54,780,3,0
22,60877,17922,47,738,1,1
25,60199,15019,24,701,4,1
49,58632,6868,43,845,5,0
57,46209,12350,28,644,4,0
58,55881,16123,52,344,1,0
39,47166,19207,47,320,5,1
28,58296,11911,57,369,4,1
21,49494,25938,30,347,4,0
42,35744,5527,46,790,5,0
37,36941,12181,57,586,1,0
27,35235,14584,51,309,4,1
45,64563,13996,39,841,3,0
24,40738,8839,12,573,5,1
56,21318,17239,53,680,2,0
26,55952,16855,29,628,2,0
51,72717,15239,59,778,1,0
39,61596,16659,51,314,3,0
64,40950,12881,44,815,4,0
59,26197,6913,23,490,2,0
47,47985,11416,19,467,1,0
30,47611,15785,35,820,3,0
46,35462,15813,27,436,3,0
39,58265,15206,15,453,1,0
59,77699,17743,49,687,1,1
23,53334,12094,55,508,4,0
33,52407,15133,38,571,1,1
48,35941,17860,20,442,4,0
40,70961,14575,58,368,4,0
48,48872,8783,27,546,5,0
28,41315,10192,23,560,3,0
61,50955,19154,42,378,3,0
59,57079,21962,35,824,3,0
21,52088,20876,25,629,5,0
23,68092,16160,56,488,4,0
33,55759,8984,36,394,4,0
48,45740,14968,45,307,1,0
45,56017,22811,14,366,5,0
53,57494,18092,35,795,1,0
58,30554,13962,53,490,5,0
26,67241,18143,20,665,1,0
64,45486,8653,37,820,2,0
52,45870,11521,31,416,3,1
41,61270,9579,51,566,3,1
36,61207,17347,21,784,4,0
41,39487,18570,30,808,2,0
31,62043,14230,14,597,3,0
57,41593,10635,35,463,4,0
56,77293,14901,16,675,2,0
55,37577,12567,14,567,3,0
39,53592,11019,38,848,1,0
40,38269,16694,27,373,5,0
38,83340,11210,26,807,2,0
61,31432,7168,46,372,4,0
34,57865,8279,23,607,2,0
35,38976,6983,52,498,4,0
51,44688,16237,55,429,2,0
21,56803,15752,37,786,4,0
23,68368,15502,58,450,3,0
36,74350,17938,45,505,1,0
43,26945,20959,34,478,3,0
31,54016,12038,42,496,1,1
32,71892,17032,31,388,3,0
30,24720,7101,23,733,3,1
52,54715,21893,34,482,2,0
36,49968,8775,15,508,5,0
28,56218,11449,34,792,4,0
58,38415,12011,59,429,4,0
32,28465,7368,59,312,4,0
44,21303,15162,12,405,1,0
48,64645,16069,36,674,4,0
28,66560,14052,13,398,4,1
48,54540,7298,41,491,2,0
56,41987,24916,14,624,3,0
46,25654,17746,32,766,4,0
28,58450,28171,36,666,5,0
48,33488,10974,31,617,4,1
48,39330,19789,33,443,1,1
57,41201,18896,32,683,1,1
61,47036,13547,44,515,1,0
56,38614,22055,49,660,4,0
47,50501,12972,26,623,2,0
37,40672,13195,57,314,5,1
29,60520,-2357,26,516,4,0
53,65465,17045,57,791,2,0
40,51628,8372,36,846,2,0
33,56939,12246,32,482,4,0
48,81767,9868,35,569,4,0
49,32410,13168,16,766,2,0
33,31497,17219,17,818,2,1
55,60424,15055,54,841,2,1
26,79198,18548,59,766,4,0
38,46092,21328,55,604,2,0
25,75902,13156,58,443,1,1
45,51446,12607,34,410,4,1
22,39786,19788,15,531,1,0
30,35139,20185,38,799,3,0
50,59441,18702,29,572,4,0
25,36275,10239,32,472,3,1
53,51219,17113,39,306,2,0
21,73751,15547,46,454,2,0
38,45398,20262,33,821,5,0
52,69710,12135,51,845,2,1
31,31781,6666,34,847,3,0
41,41991,18451,14,817,2,0
46,28892,2208,51,514,4,0
45,51094,11342,21,433,2,0
42,61701,9884,36,584,5,0
47,51127,9850,19,425,2,0
33,68405,11254,22,738,3,0
53,38762,21086,16,451,3,1
54,53380,19102,56,630,2,0
61,42087,13741,48,837,3,0
55,55425,20668,56,682,3,0
21,57556,9688,49,414,5,0
41,58735,9008,40,781,4,0
26,33941,19317,16,583,5,1
48,36653,17898,20,374,1,0
37,39435,12698,59,465,5,0
25,46416,9322,13,488,2,1
51,51307,22298,12,377,4,0
25,60621,6399,51,320,2,1
58,37278,12007,41,483,1,0
23,25984,16142,22,521,4,0
43,82336,24010,39,627,3,0
57,33028,16915,55,478,5,0
57,62544,17401,23,411,2,0
30,50469,12153,50,358,1,0
30,53769,17842,37,626,3,0
39,49976,15526,24,490,5,1
37,44227,7057,19,499,3,0
41,56959,18964,39,611,5,1
34,43421,19851,41,334,4,0
29,67494,19016,20,678,3,0
21,58526,15166,50,686,3,0
33,58993,10219,42,536,3,0
24,42393,3454,32,818,4,1
21,46454,15785,58,582,1,0
60,32181,20409,45,300,5,0
52,44704,19977,42,763,3,0
54,34451,19080,36,529,4,0
48,69696,14628,23,471,1,0
51,50758,20437,12,386,5,0
28,52557,19620,33,422,4,0
59,46622,12886,51,597,5,0
46,52963,18382,48,783,3,0
54,86973,12320,58,464,1,0
23,45497,17700,12,682,4,0
32,40243,8504,12,508,1,1
21,57945,8888,53,731,3,0
64,12114,20291,53,688,1,0
25,50959,19687,32,523,1,0
50,44424,18168,26,302,2,0
50,35115,15439,28,671,1,1
37,57616,3043,33,745,5,0
43,50809,14625,49,415,4,0
35,22963,17270,46,569,2,0
57,40302,12326,56,746,4,0
41,6675,11437,27,667,4,0
34,54399,22222,19,552,3,0
22,54249,14698,58,616,3,0
31,38100,17273,28,714,2,0
59,58101,18870,28,394,3,0
58,30762,9992,37,323,3,0
54,35502,15966,24,349,3,0
58,56257,21598,28,801,4,0
54,39669,24096,49,797,2,0
38,49060,15199,28,634,4,0
50,41545,13810,59,378,5,0
35,43836,16345,25,326,4,0
47,44491,16218,56,570,5,1
54,39398,21933,17,546,1,1
58,54536,10018,46,686,1,0
53,40581,13600,57,660,5,0
44,50235,9414,25,787,5,0
35,39069,9939,58,651,4,0
50,26985,16882,19,555,5,0
62,63686,19049,26,521,2,0
37,57492,11753,38,300,1,1
25,84330,18860,24,845,1,0
49,34340,20557,42,745,5,0
24,46865,24673,46,378,3,0
30,48072,15348,17,535,3,0
37,64840,11801,16,633,5,0
30,42393,9987,33,648,2,0
37,32434,9491,34,397,3,0
40,68117,21248,36,381,5,0
44,45250,7424,45,801,2,0
25,63179,21088,37,776,2,0
54,61432,10657,58,849,4,0
26,49551,11573,16,313,2,0
22,47385,14242,37,691,3,0
33,44126,11481,31,646,3,1
63,49772,19659,17,609,5,0
63,62946,24066,17,685,5,1
31,38053,11712,29,508,2,1
43,51632,12838,15,656,1,0
36,33220,14183,28,393,4,0
51,35088,17705,25,392,1,1
31,49535,14232,25,639,2,0
36,20597,21936,24,744,2,0
28,80908,20733,18,321,1,1
24,32104,9072,55,590,4,0
60,49398,17604,26,784,1,0
24,67523,22601,30,605,5,0
45,37056,12526,54,427,3,0
23,15459,13528,58,572,5,0
52,43325,12359,55,741,3,0
23,36877,12464,46,802,2,0
47,15854,6657,28,429,4,0
49,54273,8358,46,431,1,0
52,53106,15387,30,781,4,0
39,67134,22567,31,689,1,0
41,33187,11933,47,624,5,0
25,26012,11786,46,368,5,0
38,43899,23507,43,747,1,0
48,48674,9458,59,827,4,1
62,63820,6693,55,464,1,0
42,71158,10857,51,787,2,0
41,68217,11686,35,725,5,0
26,54148,6262,28,564,2,1
21,61992,14359,18,641,5,0
25,40392,19742,54,577,5,0
61,52525,8570,12,738,3,0
32,32130,15437,46,456,2,0
46,50940,16979,43,721,2,0
54,51329,14583,47,550,3,0
34,75831,15928,24,829,4,0
46,46565,15986,17,626,2,1
47,51350,10936,25,396,1,0
29,53554,22492,48,812,3,0
46,43177,21238,59,515,2,0
42,37962,20949,26,431,4,1
50,69482,20068,58,559,2,0
63,35286,7125,15,424,5,1
37,30081,19630,51,381,1,1
46,60203,18278,27,582,3,0
56,67367,7317,39,358,5,0
21,43228,13925,27,843,4,0
28,43459,16383,15,460,5,0
55,54238,23321,56,583,5,0
35,39382,18623,37,405,4,0
42,38274,10677,39,404,5,1
34,63193,23476,43,738,3,0
46,59106,15218,56,527,2,1
48,69667,13720,13,617,5,0
43,31211,13364,42,763,3,0
34,42463,6882,14,771,2,1
44,54217,14451,19,355,2,0
22,36115,17487,35,312,5,0
46,59625,13073,26,739,3,0
34,68369,17102,54,317,5,0
27,41249,10678,42,412,4,0
23,50578,14295,20,528,2,0
43,71834,16582,50,470,5,0
63,76989,15948,56,594,2,1
38,61187,6972,13,488,3,0
58,58901,12804,19,725,1,1
55,37193,23387,18,378,5,0
35,55388,12537,55,481,5,0
45,58352,15079,50,798,2,0
57,46844,14566,53,370,3,0
48,41078,22841,27,547,4,1
30,30780,21451,46,445,3,0
59,23934,19037,41,595,5,0
37,20781,10133,21,769,4,0
59,58691,16795,49,805,3,0
42,52215,17839,29,492,1,1
46,42742,11506,16,367,2,1
64,45028,10647,40,793,3,0
45,53157,23525,50,351,3,0
37,47531,13495,45,662,1,0
33,29891,23074,54,773,5,0
40,63695,19985,56,820,2,1
45,54561,17039,34,730,3,0
24,53988,17262,16,597,4,0
30,62563,7997,41,734,3,0
23,37795,16033,17,497,2,1
61,68205,22085,57,427,3,0
38,47899,18406,55,831,1,0
56,63328,15771,15,710,3,0
42,61016,23559,40,364,3,0
54,34417,14074,34,540,4,0
28,57543,11902,17,668,1,0
60,54894,15769,43,835,1,0
64,50454,18832,53,683,3,0
39,48584,6411,29,730,4,0
62,48711,16424,26,382,3,0
61,62190,19051,51,585,3,0
57,58668,13651,43,833,2,0
26,50457,20534,20,758,2,0
46,27620,18205,48,511,4,0
